source name	characteristics[organism]	characteristics[organism part]	characteristics[environmental sample type]	characteristics[geographic location]	characteristics[environmental medium]	characteristics[collection date]	characteristics[mock community]	characteristics[mock community composition]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[metagenome accession]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S01	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S01.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S02	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S02.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S03	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S03.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S04	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S04.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S05	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S05.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S06	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S06.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S07	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S07.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S07.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S08	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S08.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S08.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S09	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S09.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S10.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S11_Fraction1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S11_Fraction1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S11_Fraction1.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S11_Fraction2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S11_Fraction2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S11_Fraction2.raw	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S11_Fraction3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S11_Fraction3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S11_Fraction3.raw	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S11_Fraction4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S11_Fraction4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S11_Fraction4.raw	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S12	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S12.raw	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	NT=dithioerythritol;AC=CHEBI:53425	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S13_Rep1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S13_Rep1.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S13_Rep1.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S13_Rep2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S13_Rep2.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S13_Rep2.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S13_Rep3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S13_Rep3.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S13_Rep3.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S14_Rep1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S14_Rep1.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S14_Rep1.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S14_Rep2	proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S14_Rep2.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S14_Rep2.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
SIHUMIx1	metagenome	not applicable	gut microbiome	Germany	Complex intestinal medium (CIM)	2018-08-30	SIHUMIx	A simplified, lab-assembled human intestinal model composed of eight species to embody a majority of known metabolic activities typically found in the human gut microbiome.	1	S14_Rep3	proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	PRJEB42466	S14_Rep3.d.tar.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD023217/S14_Rep3.d.tar.gz	1	AC=MS:1002038;NT=label free sample	NT=timsTOF Pro;AC=MS:1003005	NT=Trypsin;AC=MS:1001251	NT=dithiothreitol;AC=CHEBI:18320	NT=iodoacetamide;AC=CHEBI:53448	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0
